ETM,Categorie_INERIS,mode_filtrage,n_strict_bdf,n_total,n_bdf_exclus,n_outliers_grubbs,poids_total,BCF_min,BCF_max,BCF_median,BCF_mean_arith,BCF_mean_geom_pond,n_reg_simple,A_simple,B_simple,r2_simple,p_simple,OP_min,OP_max,Cs_valid_min,Cs_valid_max,n_reg_multiple,pearson_p_pH,pearson_p_MO,vars_mult_model,A_mult,B_lnCs_mult,C_pH,D_MO,r2_multiple,F_stat_mult,p_fisher_mult,OP_min_mult,OP_max_mult,pH_valid_min,pH_valid_max,MO_valid_min,MO_valid_max,best_distrib,AD_stat,AD_pval_lognorm,regression_retenue,Br_E,unité,modele
Sb,légumes-racines,assoupli,0,6,0,0,6.0000,0.0032,0.2411,0.0754,0.1072,0.0497,6,-0.2262,-1.2860,0.3936,0.1824,0.2020,4.1032,2.5900,26.1000,0,,,,,,,,,,,,,,,,,intervalle_min_max,,,True,0.0497,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Sb,tubercules,assoupli,7,11,0,0,41.0000,0.0019,0.6376,0.0176,0.0851,0.0174,11,-2.5832,-0.2949,0.1492,0.2407,0.1561,15.4760,5.4000,1470.0000,0,,,,,,,,,,,,,,,,,lognormale,0.2301,0.1500,True,0.0174,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Se,légumes-feuilles,assoupli,10,18,0,0,42.0000,0.7143,4.7781,1.0351,1.7832,1.1563,18,0.8489,0.3925,0.8381,0.0000,0.5903,1.5699,0.1000,3.0100,18,0.0007,0.0000,ln_Cs+MO,1.3173,0.2788,,-0.6040,0.8589,45.6383,0.0000,0.6432,1.5522,,,0.4900,1.4500,Pearson_V,0.5718,0.0100,True,1.1563,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Se,légumes-fruits,strict,20,20,0,0,20.0000,1.0000,2.5000,2.5000,2.0500,1.8991,20,-0.6931,-1.0000,1.0000,0.0000,1.0000,1.0000,0.2000,0.5000,20,,,ln_Cs,,,,,,,,,,,,,,gamma,4.2301,0.0100,True,1.8991,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Tl,légumes-feuilles,strict,41,41,3,0,41.0000,0.1053,17.1771,0.5139,2.6360,0.9346,41,-0.8957,0.4605,0.3685,0.0000,0.0811,7.1792,0.4000,109.0000,33,0.0000,0.1995,ln_Cs+pH,4.0514,0.0990,-0.6350,,0.4845,14.0971,0.0000,0.1461,7.0062,4.9000,9.8700,,,Pearson_V,0.6106,0.0100,False,0.9346,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Tl,légumes-fruits,assoupli,2,2,0,0,2.0000,0.3629,0.9800,0.5964,0.6715,0.5964,2,,,,,,,,,0,,,,,,,,,,,,,,,,,intervalle_min_max,,,False,0.5964,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Tl,tubercules,assoupli,1,1,0,0,1.0000,0.2326,0.2326,0.2326,0.2326,0.2326,1,,,,,,,,,0,,,,,,,,,,,,,,,,,intervalle_min_max,,,False,0.2326,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
V,légumes-feuilles,strict,14,14,0,0,23.0000,0.0042,0.1954,0.0199,0.0410,0.0297,14,-1.2604,-0.5018,0.1337,0.1985,0.2304,5.5969,54.0000,440.4000,11,0.5110,0.7783,ln_Cs,,,,,,,,,,,,,,lognormale,0.4909,0.1500,True,0.0297,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
V,légumes-fruits,strict,12,12,0,1,33.0000,0.0141,0.0493,0.0212,0.0242,0.0225,11,-1.1689,-0.7891,0.6234,0.0038,0.7124,1.3598,14.8000,47.4000,0,,,,,,,,,,,,,,,,,lognormale,0.3123,0.1500,True,0.0225,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Zn,légumes-feuilles,strict,194,194,10,0,1053.0000,0.0106,3.8095,0.4149,0.6246,0.3857,194,0.8056,-0.3637,0.2010,0.0000,0.0175,11.4376,1.3200,3440.0000,133,0.9336,0.1494,ln_Cs,,,,,,,,,,,,,,lognormale,0.3761,0.0490,False,0.3857,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Zn,légumes-fruits,strict,151,151,5,2,655.0000,0.0033,1.4644,0.1638,0.2516,0.1798,149,-1.1752,-0.1681,0.0492,0.0066,0.0215,9.1100,0.8800,3040.0000,85,0.0200,0.1336,ln_Cs+pH,3.0573,-0.4951,-0.3948,,0.2933,17.0194,0.0000,0.0144,6.8650,4.5900,8.4000,,,lognormale,0.3299,0.1500,False,0.1798,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Zn,légumes-racines,strict,21,21,0,0,77.0000,0.0159,1.6512,0.2198,0.2916,0.2203,21,1.3033,-0.5884,0.6854,0.0000,0.2293,4.7246,14.3000,3040.0000,13,0.1839,0.9057,ln_Cs,,,,,,,,,,,,,,lognormale,0.3942,0.1500,True,0.2203,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Zn,tubercules,strict,58,58,0,0,375.0000,0.0139,1.3605,0.1976,0.3165,0.3437,58,-0.0251,-0.3823,0.1863,0.0007,0.0410,3.2453,1.5000,883.0000,26,0.8039,0.0940,ln_Cs+MO,0.6459,-0.4947,,-0.0444,0.5844,16.1738,0.0000,0.2281,4.7835,,,1.1600,20.8900,Pearson_V,0.6756,0.0100,False,0.3437,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
